{ r: 4, n: 6, det_states: 11, det_time: 0, me_states: 11, me_time: 0  }
{ r: 4, n: 6, det_states: 8, det_time: 0, me_states: 8, me_time: 0  }
{ r: 4, n: 6, det_states: 102, det_time: 0, me_states: 93, me_time: 0  }
{ r: 5, n: 6, det_states: 3, det_time: 0, me_states: 3, me_time: 0  }
{ r: 5, n: 5, det_states: 5, det_time: 0, me_states: 5, me_time: 0  }
{ r: 5, n: 6, det_states: 3, det_time: 0, me_states: 3, me_time: 0  }
{ r: 5, n: 5, det_states: 5, det_time: 0, me_states: 5, me_time: 0  }
{ r: 5, n: 5, det_states: 5, det_time: 0, me_states: 5, me_time: 0  }
{ r: 5, n: 6, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 5, n: 6, det_states: 50, det_time: 0, me_states: 38, me_time: 0  }
{ r: 3, n: 7, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 3, n: 7, det_states: 5, det_time: 0, me_states: 5, me_time: 0  }
{ r: 3, n: 7, det_states: 9, det_time: 0, me_states: 9, me_time: 0  }
{ r: 3, n: 7, det_states: 6, det_time: 0, me_states: 6, me_time: 0  }
{ r: 3, n: 7, det_states: 123, det_time: 0, me_states: 118, me_time: 0  }
{ r: 3, n: 7, det_states: 131, det_time: 0, me_states: 124, me_time: 0  }
{ r: 3, n: 7, det_states: 111, det_time: 0, me_states: 109, me_time: 0  }
{ r: 4, n: 7, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 4, n: 4, det_states: 4, det_time: 0, me_states: 4, me_time: 0  }
{ r: 4, n: 7, det_states: 21, det_time: 0, me_states: 21, me_time: 0  }
{ r: 4, n: 7, det_states: 91, det_time: 0, me_states: 88, me_time: 0  }
{ r: 4, n: 7, det_states: 266, det_time: 0, me_states: 203, me_time: 0  }
{ r: 4, n: 7, det_states: 239, det_time: 0, me_states: 188, me_time: 0  }
{ r: 4, n: 7, det_states: 152, det_time: 0, me_states: 143, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 5, n: 7, det_states: 9, det_time: 0, me_states: 9, me_time: 0  }
